Time stamp sent long;Time stamp sent short [microseconds];Time stamp received long;Time stamp received short [microseconds];Infrared_FrontRight;Infrared_Rear;Infrared_RearRight;UltraSonic_FrontCenter;UltraSonic_FrontRight;UltraSonic_RearRight
2017-02-09 19:57:56.479834;1486670276479834;2017-02-09 19:57:56.482294;1486670276482294;1.05014;-1;2.56699;37.7931;-1;-1
2017-02-09 19:57:56.581568;1486670276581568;2017-02-09 19:57:56.589801;1486670276589801;1.13453;-1;2.3764;37.6604;-1;-1
2017-02-09 19:57:56.680329;1486670276680329;2017-02-09 19:57:56.690901;1486670276690901;1.19889;-1;2.36582;37.5526;-1;-1
2017-02-09 19:57:56.798051;1486670276798051;2017-02-09 19:57:56.799037;1486670276799037;1.26361;-1;2.35275;37.436;-1;-1
2017-02-09 19:57:56.877871;1486670276877871;2017-02-09 19:57:56.878805;1486670276878805;1.32323;-1;2.33783;37.3202;-1;-1
2017-02-09 19:57:56.978369;1486670276978369;2017-02-09 19:57:56.984712;1486670276984712;1.37581;-1;2.32165;37.5339;-1;-1
2017-02-09 19:57:57.78373;1486670277078373;2017-02-09 19:57:57.82930;1486670277082930;1.42497;-1;2.30335;37.9707;-1;-1
2017-02-09 19:57:57.178366;1486670277178366;2017-02-09 19:57:57.180686;1486670277180686;1.47124;-1;2.28255;-1;-1;-1
2017-02-09 19:57:57.283254;1486670277283254;2017-02-09 19:57:57.284419;1486670277284419;1.51212;-1;2.26036;-1;-1;-1
2017-02-09 19:57:57.382889;1486670277382889;2017-02-09 19:57:57.383729;1486670277383729;1.54952;-1;2.23609;-1;-1;-1
2017-02-09 19:57:57.479163;1486670277479163;2017-02-09 19:57:57.481654;1486670277481654;1.58426;-1;2.20921;-1;-1;-1
2017-02-09 19:57:57.579922;1486670277579922;2017-02-09 19:57:57.580624;1486670277580624;1.61606;-1;2.17986;-1;-1;-1
2017-02-09 19:57:57.685111;1486670277685111;2017-02-09 19:57:57.689260;1486670277689260;1.64518;-1;2.14783;-1;-1;-1
