Time stamp sent long;Time stamp sent short [microseconds];Time stamp received long;Time stamp received short [microseconds];Infrared_FrontRight;Infrared_Rear;Infrared_RearRight;UltraSonic_FrontCenter;UltraSonic_FrontRight;UltraSonic_RearRight
2017-02-09 20:37:43.724461;1486672663724461;2017-02-09 20:37:43.727825;1486672663727825;2.30219;-1;2.30219;18.4281;2.92986;2.6857
2017-02-09 20:37:43.819559;1486672663819559;2017-02-09 20:37:43.820211;1486672663820211;2.30219;-1;2.30219;18.4281;2.92986;2.6857
2017-02-09 20:37:43.921389;1486672663921389;2017-02-09 20:37:43.922509;1486672663922509;2.30022;-1;2.30219;18.4281;2.92986;2.6857
2017-02-09 20:37:44.18625;1486672664018625;2017-02-09 20:37:44.19593;1486672664019593;2.30103;-1;2.30219;18.4281;2.92986;2.6857
2017-02-09 20:37:44.117929;1486672664117929;2017-02-09 20:37:44.118651;1486672664118651;-1;-1;2.30219;18.4281;2.92986;2.70207
2017-02-09 20:37:44.219164;1486672664219164;2017-02-09 20:37:44.219808;1486672664219808;-1;-1;2.30219;18.4281;2.92986;2.76146
2017-02-09 20:37:44.317738;1486672664317738;2017-02-09 20:37:44.318478;1486672664318478;-1;-1;2.30219;18.4281;2.92986;2.82293
2017-02-09 20:37:44.418031;1486672664418031;2017-02-09 20:37:44.425821;1486672664425821;-1;-1;2.30219;18.4281;2.92986;2.88681
2017-02-09 20:37:44.518417;1486672664518417;2017-02-09 20:37:44.519673;1486672664519673;-1;-1;2.30219;18.4281;2.92986;2.95297
2017-02-09 20:37:44.617980;1486672664617980;2017-02-09 20:37:44.619124;1486672664619124;-1;-1;2.30219;18.4281;2.92986;3.02058
2017-02-09 20:37:44.717380;1486672664717380;2017-02-09 20:37:44.718122;1486672664718122;-1;-1;2.30219;18.4281;2.92986;3.09015
2017-02-09 20:37:44.817832;1486672664817832;2017-02-09 20:37:44.818881;1486672664818881;-1;-1;2.30219;19.5798;2.92986;3.16127
2017-02-09 20:37:44.921370;1486672664921370;2017-02-09 20:37:44.923406;1486672664923406;-1;-1;2.30219;19.5798;2.92986;2.80778
2017-02-09 20:37:45.22063;1486672665022063;2017-02-09 20:37:45.23096;1486672665023096;2.40018;-1;2.30219;19.5798;2.92986;2.80778
2017-02-09 20:37:45.118391;1486672665118391;2017-02-09 20:37:45.119422;1486672665119422;2.40104;-1;2.30219;19.5798;2.92986;2.80778
2017-02-09 20:37:45.218232;1486672665218232;2017-02-09 20:37:45.224669;1486672665224669;2.40229;-1;2.30219;19.5798;2.92986;2.80778
2017-02-09 20:37:45.317808;1486672665317808;2017-02-09 20:37:45.321889;1486672665321889;2.40229;-1;2.30219;19.5798;2.92986;2.80778
2017-02-09 20:37:45.419257;1486672665419257;2017-02-09 20:37:45.420358;1486672665420358;2.40229;-1;2.30219;19.5798;2.92986;2.80778
2017-02-09 20:37:45.519873;1486672665519873;2017-02-09 20:37:45.521074;1486672665521074;2.40229;-1;2.30219;19.5798;2.92986;2.80778
2017-02-09 20:37:45.618475;1486672665618475;2017-02-09 20:37:45.619388;1486672665619388;2.40229;-1;2.30219;19.5798;2.92986;2.80778
2017-02-09 20:37:45.718597;1486672665718597;2017-02-09 20:37:45.719711;1486672665719711;2.40229;-1;2.30219;19.5798;2.92986;2.80778
2017-02-09 20:37:45.819198;1486672665819198;2017-02-09 20:37:45.821424;1486672665821424;2.40229;-1;2.30219;19.5798;2.92986;2.80778
2017-02-09 20:37:45.924954;1486672665924954;2017-02-09 20:37:45.925745;1486672665925745;2.40229;-1;2.30017;19.5798;2.92986;2.80778
2017-02-09 20:37:46.18275;1486672666018275;2017-02-09 20:37:46.19052;1486672666019052;2.40229;-1;2.30113;19.5798;2.92986;2.80778
2017-02-09 20:37:46.117698;1486672666117698;2017-02-09 20:37:46.118519;1486672666118519;2.40229;-1;-1;19.5798;4.12386;2.80778
2017-02-09 20:37:46.218091;1486672666218091;2017-02-09 20:37:46.219277;1486672666219277;2.40229;-1;-1;19.5798;4.05094;2.80778
2017-02-09 20:37:46.317727;1486672666317727;2017-02-09 20:37:46.318513;1486672666318513;2.40229;-1;-1;19.5798;3.97895;2.80778
2017-02-09 20:37:46.419853;1486672666419853;2017-02-09 20:37:46.428503;1486672666428503;2.40229;-1;-1;19.5798;3.90834;2.80778
2017-02-09 20:37:46.518409;1486672666518409;2017-02-09 20:37:46.519508;1486672666519508;2.40229;-1;-1;19.5798;3.83934;2.80778
2017-02-09 20:37:46.621685;1486672666621685;2017-02-09 20:37:46.622553;1486672666622553;2.40229;-1;-1;19.5798;3.77156;2.80778
2017-02-09 20:37:46.719403;1486672666719403;2017-02-09 20:37:46.720550;1486672666720550;2.40229;-1;-1;19.5798;3.70484;2.80778
2017-02-09 20:37:46.817878;1486672666817878;2017-02-09 20:37:46.822162;1486672666822162;2.40229;-1;-1;19.5798;3.64008;2.80778
2017-02-09 20:37:46.923034;1486672666923034;2017-02-09 20:37:46.923825;1486672666923825;2.40229;-1;2.82768;19.5798;3.57537;2.80778
2017-02-09 20:37:47.35291;1486672667035291;2017-02-09 20:37:47.35657;1486672667035657;2.40229;-1;2.40014;19.5798;3.51553;2.80778
2017-02-09 20:37:47.117712;1486672667117712;2017-02-09 20:37:47.123697;1486672667123697;2.40229;-1;2.40129;19.5798;3.45339;2.80778
2017-02-09 20:37:47.218320;1486672667218320;2017-02-09 20:37:47.219030;1486672667219030;2.40229;-1;2.40229;23.2605;3.41817;2.80778
2017-02-09 20:37:47.317687;1486672667317687;2017-02-09 20:37:47.318532;1486672667318532;2.40229;-1;2.40229;23.1617;3.41817;2.80778
2017-02-09 20:37:47.418054;1486672667418054;2017-02-09 20:37:47.418769;1486672667418769;2.40229;-1;2.40229;23.0624;3.41817;2.80778
2017-02-09 20:37:47.518751;1486672667518751;2017-02-09 20:37:47.519494;1486672667519494;2.40229;-1;2.40229;22.9632;3.41817;2.80778
2017-02-09 20:37:47.705069;1486672667705069;2017-02-09 20:37:47.706372;1486672667706372;2.40229;-1;2.40229;22.864;3.41817;2.84553
2017-02-09 20:37:47.735737;1486672667735737;2017-02-09 20:37:47.736874;1486672667736874;2.40012;-1;2.40229;22.7642;3.41817;2.90602
2017-02-09 20:37:47.821154;1486672667821154;2017-02-09 20:37:47.821911;1486672667821911;2.4012;-1;2.40229;22.6655;3.41817;2.96806
2017-02-09 20:37:47.924896;1486672667924896;2017-02-09 20:37:47.925321;1486672667925321;-1;-1;2.40229;22.5665;3.41817;3.03229
2017-02-09 20:37:48.20875;1486672668020875;2017-02-09 20:37:48.22119;1486672668022119;-1;-1;2.40229;22.4675;3.41817;3.09847
2017-02-09 20:37:48.120743;1486672668120743;2017-02-09 20:37:48.122097;1486672668122097;-1;-1;2.40229;22.3685;3.41817;3.16638
2017-02-09 20:37:48.222715;1486672668222715;2017-02-09 20:37:48.223360;1486672668223360;-1;-1;2.40229;22.2693;3.41817;3.23619
2017-02-09 20:37:48.322927;1486672668322927;2017-02-09 20:37:48.328412;1486672668328412;-1;-1;2.40229;22.1701;3.41817;3.30752
2017-02-09 20:37:48.422035;1486672668422035;2017-02-09 20:37:48.423325;1486672668423325;-1;-1;2.40229;22.0714;3.41817;3.37993
2017-02-09 20:37:48.521307;1486672668521307;2017-02-09 20:37:48.524505;1486672668524505;-1;-1;2.40229;21.9722;3.41817;3.45411
2017-02-09 20:37:48.620859;1486672668620859;2017-02-09 20:37:48.622276;1486672668622276;-1;-1;2.40229;21.8731;3.41817;3.52953
2017-02-09 20:37:48.720875;1486672668720875;2017-02-09 20:37:48.722428;1486672668722428;-1;-1;2.40229;21.7743;3.41817;3.60597
2017-02-09 20:37:48.821970;1486672668821970;2017-02-09 20:37:48.823687;1486672668823687;-1;-1;2.40229;21.6752;3.41817;2.92986
2017-02-09 20:37:48.922974;1486672668922974;2017-02-09 20:37:48.923792;1486672668923792;-1;-1;2.40229;21.5763;3.41817;2.92986
2017-02-09 20:37:49.28660;1486672669028660;2017-02-09 20:37:49.32421;1486672669032421;2.80265;-1;2.40229;21.4769;3.41817;2.92986
2017-02-09 20:37:49.126851;1486672669126851;2017-02-09 20:37:49.128147;1486672669128147;2.80008;-1;2.40229;21.3779;3.41817;2.92986
2017-02-09 20:37:49.221304;1486672669221304;2017-02-09 20:37:49.223876;1486672669223876;2.80122;-1;2.40229;21.2747;3.41817;2.92986
2017-02-09 20:37:49.321633;1486672669321633;2017-02-09 20:37:49.322878;1486672669322878;2.80267;-1;2.40229;21.1802;3.41817;2.92986
2017-02-09 20:37:49.420702;1486672669420702;2017-02-09 20:37:49.421259;1486672669421259;2.80267;-1;2.40229;21.0811;3.41817;2.92986
2017-02-09 20:37:49.524302;1486672669524302;2017-02-09 20:37:49.524959;1486672669524959;2.80267;-1;2.40229;20.9824;3.41817;2.92986
2017-02-09 20:37:49.625945;1486672669625945;2017-02-09 20:37:49.628418;1486672669628418;2.80267;-1;2.40229;20.8831;3.41817;2.92986
2017-02-09 20:37:49.730119;1486672669730119;2017-02-09 20:37:49.731059;1486672669731059;2.80267;-1;2.40009;20.7842;3.41817;2.92986
2017-02-09 20:37:49.821067;1486672669821067;2017-02-09 20:37:49.822069;1486672669822069;2.80267;-1;2.40134;20.6847;3.41817;2.92986
2017-02-09 20:37:49.922437;1486672669922437;2017-02-09 20:37:49.923415;1486672669923415;2.80267;-1;-1;20.5848;3.92917;2.92986
2017-02-09 20:37:50.20840;1486672670020840;2017-02-09 20:37:50.22027;1486672670022027;2.80267;-1;-1;20.4879;3.8093;2.92986
2017-02-09 20:37:50.120768;1486672670120768;2017-02-09 20:37:50.121706;1486672670121706;2.80267;-1;-1;20.3888;3.68672;2.92986
2017-02-09 20:37:50.224537;1486672670224537;2017-02-09 20:37:50.225468;1486672670225468;2.80267;-1;-1;20.2899;3.56432;2.92986
2017-02-09 20:37:50.321143;1486672670321143;2017-02-09 20:37:50.321802;1486672670321802;2.80267;-1;-1;20.1911;3.45687;2.92986
2017-02-09 20:37:50.425792;1486672670425792;2017-02-09 20:37:50.428364;1486672670428364;2.80267;-1;-1;20.0925;3.37584;2.92986
2017-02-09 20:37:50.521232;1486672670521232;2017-02-09 20:37:50.522259;1486672670522259;2.80267;-1;-1;19.9931;3.29526;2.92986
2017-02-09 20:37:50.620847;1486672670620847;2017-02-09 20:37:50.621916;1486672670621916;2.80267;-1;-1;19.8949;3.21664;2.92986
2017-02-09 20:37:50.720728;1486672670720728;2017-02-09 20:37:50.722991;1486672670722991;2.80267;-1;-1;19.7958;3.1386;2.92986
2017-02-09 20:37:50.828320;1486672670828320;2017-02-09 20:37:50.830530;1486672670830530;2.80267;-1;-1;19.6968;3.06189;2.92986
2017-02-09 20:37:50.930281;1486672670930281;2017-02-09 20:37:50.931529;1486672670931529;2.80267;-1;-1;19.5984;2.98701;2.92986
2017-02-09 20:37:51.20718;1486672671020718;2017-02-09 20:37:51.29014;1486672671029014;2.80267;-1;2.8025;19.4996;2.91329;2.92986
2017-02-09 20:37:51.123807;1486672671123807;2017-02-09 20:37:51.124105;1486672671124105;2.80267;-1;2.80006;19.4007;2.84118;2.92986
2017-02-09 20:37:51.222041;1486672671222041;2017-02-09 20:37:51.230058;1486672671230058;2.80267;-1;2.8012;19.3021;2.771;2.92986
2017-02-09 20:37:51.321039;1486672671321039;2017-02-09 20:37:51.326286;1486672671326286;2.80267;-1;2.80267;19.2032;2.7025;2.92986
2017-02-09 20:37:51.423393;1486672671423393;2017-02-09 20:37:51.424025;1486672671424025;2.80267;-1;2.80267;19.1049;2.6364;2.93088
2017-02-09 20:37:51.521309;1486672671521309;2017-02-09 20:37:51.521930;1486672671521930;2.80267;-1;2.80267;19.0061;2.57215;2.9896
2017-02-09 20:37:51.620958;1486672671620958;2017-02-09 20:37:51.621545;1486672671621545;2.80267;-1;2.80267;19.0039;2.50993;3.05083
2017-02-09 20:37:51.721523;1486672671721523;2017-02-09 20:37:51.722178;1486672671722178;2.80241;-1;2.80267;19.0039;2.45069;3.11369
2017-02-09 20:37:51.820643;1486672671820643;2017-02-09 20:37:51.821398;1486672671821398;2.80005;-1;2.80267;19.0039;2.44155;3.178
2017-02-09 20:37:51.924472;1486672671924472;2017-02-09 20:37:51.925000;1486672671925000;2.80124;-1;2.80267;19.0039;2.44155;3.2446
2017-02-09 20:37:52.23032;1486672672023032;2017-02-09 20:37:52.23581;1486672672023581;-1;-1;2.80267;19.0039;2.44155;3.31293
2017-02-09 20:37:52.120787;1486672672120787;2017-02-09 20:37:52.121463;1486672672121463;-1;-1;2.80267;19.0039;2.44155;3.3829
2017-02-09 20:37:52.220888;1486672672220888;2017-02-09 20:37:52.221521;1486672672221521;-1;-1;2.80267;19.0039;2.44155;3.45429
2017-02-09 20:37:52.323778;1486672672323778;2017-02-09 20:37:52.325973;1486672672325973;-1;-1;2.80267;19.0039;2.44155;3.52667
2017-02-09 20:37:52.420675;1486672672420675;2017-02-09 20:37:52.426650;1486672672426650;-1;-1;2.80267;19.0039;2.44155;3.60089
2017-02-09 20:37:52.526828;1486672672526828;2017-02-09 20:37:52.527694;1486672672527694;-1;-1;2.80267;19.0039;2.44155;3.67617
2017-02-09 20:37:52.627383;1486672672627383;2017-02-09 20:37:52.629928;1486672672629928;-1;-1;2.80267;19.0039;2.44155;3.75276
2017-02-09 20:37:52.721329;1486672672721329;2017-02-09 20:37:52.722099;1486672672722099;-1;-1;2.80267;19.0039;2.44155;3.83176
2017-02-09 20:37:52.821233;1486672672821233;2017-02-09 20:37:52.822226;1486672672822226;-1;-1;2.80267;19.0039;2.44155;3.90861
2017-02-09 20:37:52.923874;1486672672923874;2017-02-09 20:37:52.925055;1486672672925055;-1;-1;2.80267;19.0039;2.44155;3.98824
2017-02-09 20:37:53.20691;1486672673020691;2017-02-09 20:37:53.22057;1486672673022057;2.58955;-1;2.80267;19.0039;2.44155;4.06997
2017-02-09 20:37:53.120629;1486672673120629;2017-02-09 20:37:53.121335;1486672673121335;2.00005;-1;2.80267;19.0039;2.44155;3.41817
2017-02-09 20:37:53.220866;1486672673220866;2017-02-09 20:37:53.221546;1486672673221546;2.00185;-1;2.80267;19.0039;2.44155;3.41817
2017-02-09 20:37:53.321374;1486672673321374;2017-02-09 20:37:53.322155;1486672673322155;2.00191;-1;2.80267;19.0039;2.44155;3.41817
2017-02-09 20:37:53.420748;1486672673420748;2017-02-09 20:37:53.421437;1486672673421437;2.00191;-1;2.80267;19.0039;2.44155;3.41817
2017-02-09 20:37:53.521254;1486672673521254;2017-02-09 20:37:53.521866;1486672673521866;2.00191;-1;2.80267;19.0039;2.44155;3.41817
2017-02-09 20:37:53.620859;1486672673620859;2017-02-09 20:37:53.621569;1486672673621569;2.00191;-1;2.80267;19.0039;2.44155;3.41817
2017-02-09 20:37:53.721884;1486672673721884;2017-02-09 20:37:53.724623;1486672673724623;2.00191;-1;2.80228;19.0039;2.44155;3.41817
2017-02-09 20:37:53.821918;1486672673821918;2017-02-09 20:37:53.823236;1486672673823236;2.00191;-1;2.80003;19.0039;2.44155;3.41817
2017-02-09 20:37:53.924787;1486672673924787;2017-02-09 20:37:53.934167;1486672673934167;2.00191;-1;2.80136;19.0039;2.44155;3.41817
2017-02-09 20:37:54.20739;1486672674020739;2017-02-09 20:37:54.21846;1486672674021846;2.00191;-1;-1;19.0039;2.44155;3.41817
2017-02-09 20:37:54.120737;1486672674120737;2017-02-09 20:37:54.121148;1486672674121148;2.00191;-1;-1;19.0039;2.44155;3.41817
2017-02-09 20:37:54.222796;1486672674222796;2017-02-09 20:37:54.223223;1486672674223223;2.00191;-1;-1;20.0853;2.44155;3.41817
2017-02-09 20:37:54.320843;1486672674320843;2017-02-09 20:37:54.321436;1486672674321436;2.00191;-1;-1;19.9865;2.44155;3.41817
2017-02-09 20:37:54.420902;1486672674420902;2017-02-09 20:37:54.422597;1486672674422597;2.00191;-1;-1;19.8874;2.44155;3.41817
2017-02-09 20:37:54.521598;1486672674521598;2017-02-09 20:37:54.522064;1486672674522064;2.00191;-1;-1;19.7888;3.2725;3.41817
2017-02-09 20:37:54.622600;1486672674622600;2017-02-09 20:37:54.623324;1486672674623324;2.00191;-1;-1;19.6899;3.20866;3.41817
2017-02-09 20:37:54.723469;1486672674723469;2017-02-09 20:37:54.724069;1486672674724069;2.00191;-1;-1;19.591;3.14676;3.41817
2017-02-09 20:37:54.821089;1486672674821089;2017-02-09 20:37:54.822199;1486672674822199;2.00191;-1;-1;19.4899;3.08558;3.41817
2017-02-09 20:37:54.922565;1486672674922565;2017-02-09 20:37:54.924375;1486672674924375;2.00191;-1;-1;19.3937;3.05194;3.41817
