Time stamp sent long;Time stamp sent short [microseconds];Time stamp received long;Time stamp received short [microseconds];Infrared_FrontRight;Infrared_Rear;Infrared_RearRight;UltraSonic_FrontCenter;UltraSonic_FrontRight;UltraSonic_RearRight
2017-02-09 19:32:22.881104;1486668742881104;2017-02-09 19:32:22.882235;1486668742882235;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:22.982600;1486668742982600;2017-02-09 19:32:22.983786;1486668742983786;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:23.80717;1486668743080717;2017-02-09 19:32:23.83344;1486668743083344;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:23.182745;1486668743182745;2017-02-09 19:32:23.184082;1486668743184082;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:23.280112;1486668743280112;2017-02-09 19:32:23.287462;1486668743287462;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:23.384355;1486668743384355;2017-02-09 19:32:23.385578;1486668743385578;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:23.479608;1486668743479608;2017-02-09 19:32:23.487638;1486668743487638;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:23.588161;1486668743588161;2017-02-09 19:32:23.591606;1486668743591606;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:23.678761;1486668743678761;2017-02-09 19:32:23.686283;1486668743686283;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:23.778349;1486668743778349;2017-02-09 19:32:23.784636;1486668743784636;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:23.886351;1486668743886351;2017-02-09 19:32:23.889003;1486668743889003;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:23.978043;1486668743978043;2017-02-09 19:32:23.993558;1486668743993558;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:24.82828;1486668744082828;2017-02-09 19:32:24.84794;1486668744084794;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:24.177666;1486668744177666;2017-02-09 19:32:24.178960;1486668744178960;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:24.279276;1486668744279276;2017-02-09 19:32:24.282666;1486668744282666;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:24.382208;1486668744382208;2017-02-09 19:32:24.384734;1486668744384734;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:24.477289;1486668744477289;2017-02-09 19:32:24.479000;1486668744479000;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:24.579357;1486668744579357;2017-02-09 19:32:24.580010;1486668744580010;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:24.677112;1486668744677112;2017-02-09 19:32:24.677721;1486668744677721;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:24.778275;1486668744778275;2017-02-09 19:32:24.779192;1486668744779192;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:24.877969;1486668744877969;2017-02-09 19:32:24.878316;1486668744878316;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:24.978432;1486668744978432;2017-02-09 19:32:24.979232;1486668744979232;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:25.78654;1486668745078654;2017-02-09 19:32:25.79103;1486668745079103;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:25.178660;1486668745178660;2017-02-09 19:32:25.179202;1486668745179202;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:25.277796;1486668745277796;2017-02-09 19:32:25.278442;1486668745278442;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:25.386560;1486668745386560;2017-02-09 19:32:25.388031;1486668745388031;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:25.477039;1486668745477039;2017-02-09 19:32:25.477677;1486668745477677;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:25.577042;1486668745577042;2017-02-09 19:32:25.580919;1486668745580919;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:25.679070;1486668745679070;2017-02-09 19:32:25.680319;1486668745680319;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:25.777572;1486668745777572;2017-02-09 19:32:25.778764;1486668745778764;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:25.878348;1486668745878348;2017-02-09 19:32:25.879506;1486668745879506;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:25.978935;1486668745978935;2017-02-09 19:32:25.980038;1486668745980038;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:26.80884;1486668746080884;2017-02-09 19:32:26.81759;1486668746081759;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:26.181906;1486668746181906;2017-02-09 19:32:26.184533;1486668746184533;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:26.277474;1486668746277474;2017-02-09 19:32:26.278435;1486668746278435;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:26.380048;1486668746380048;2017-02-09 19:32:26.381345;1486668746381345;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:26.478778;1486668746478778;2017-02-09 19:32:26.479594;1486668746479594;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:26.578461;1486668746578461;2017-02-09 19:32:26.579346;1486668746579346;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:26.677514;1486668746677514;2017-02-09 19:32:26.679748;1486668746679748;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:26.777800;1486668746777800;2017-02-09 19:32:26.779029;1486668746779029;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:26.877625;1486668746877625;2017-02-09 19:32:26.878822;1486668746878822;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:26.977433;1486668746977433;2017-02-09 19:32:26.983423;1486668746983423;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:27.78981;1486668747078981;2017-02-09 19:32:27.79694;1486668747079694;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:27.177901;1486668747177901;2017-02-09 19:32:27.178580;1486668747178580;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:27.277732;1486668747277732;2017-02-09 19:32:27.278353;1486668747278353;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:27.379469;1486668747379469;2017-02-09 19:32:27.380187;1486668747380187;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:27.477044;1486668747477044;2017-02-09 19:32:27.477995;1486668747477995;-1;-1;-1;-1;-1;-1
2017-02-09 19:32:27.577620;1486668747577620;2017-02-09 19:32:27.578426;1486668747578426;-1;-1;-1;-1;-1;-1
